date,tweet
2021-05-21,yes with the spacex rocket thruster option package it will be safe but very intense probably not wise for those withmedical condition same ashardcore roller coasterbitcoin hashing aka mining energy usage is starting to exceed that of medium sized countries almost impossible for small hashers to succeed without those massive economies of scaleideally 0 1kwh calculated as total energy used by system divided by max transaction rateachieving truly decentralized finance power to the people isnoble amp important goal layer count depends on projected bandwidth amp compute both rising rapidly which means single layer network can carry all human transactions in future imo for now lightning is neededwe canwait to build this crazy truck ita total rethink of vehicle mechanical architecture amp production methods so super hard project but worthwhile in the endthis will actually be able to fly very brieflyalways laughed at flying cars amp now making one fate irony hahawowi agree that this can be done over time but recent extreme energy usage growth could not possibly have been done so fast with renewables this question is easily resolved if the top 10 hashing orgs just post audited numbers of renewable energy vs not
2021-05-22,the true battle is between fiat amp crypto on balancesupport the latterthe hard part about raptor is simplifying itwelcome to the future itgonna be greatcongratsany sufficiently advanced magic is indistinguishable from technology
2021-05-23,becoming multiplanetary is one of the greatest filters only now 4 5 billion years after earth formed is it possible how long this window to reach mars remains open is uncertain perhapslong time perhaps not in case it is the latter we should act nowcongrats
2021-05-24,he fears thespoke with north american bitcoin miners they committed to publish current amp planned renewable usage amp to ask miners ww to do so potentially promisingif youlike to help develop doge please submit ideas on github amp
2021-05-25,someone suggested changing dogecoin fees based on phases of the moon which is pretty awesome hahathey told me they would appreciate helpdoge has dogs amp memes whereas the others do not
2021-05-26,lot of plumbingexactlypure vision autopilot is now rolling out in north america there will be an update of this production release in 2 weeks then fsd beta v9 0 also pure visionweek later fsd subscription will be enabled around the same timedeep thotsaiming to have hot gas thrusters on booster for first orbital flightif only they had spaceships theystill be aroundthey are now the same lox below ch4 ox is 3 5 times heavier than fuel so makes sense to have it loweryupnot sure who wrote this but itaccurateplease note dogecoin has no formal organization amp no one reports to me so my ability to take action is limited
2021-05-27,cumulative payload to orbit is the really crazy number falcon has delivered more than double rest of world combined over trailing 12 monthspretty close no tiles on back side of flaps some tiles towards leeward side of ship trailing plasma spilling off rear of flapspotentially 1000 times higherexactly
2021-05-28,ship 16 amp booster 2 starbase highbayi suspect that name made him strongfor the low low price oftesla sure would appreciate changing the law so that this is not required
2021-05-29,sick burn haha hopefully next yearexactly atmospheric drag clearing out orbital debris ismajor reason why we dropped altitude to 550kmvegas ftwmodelplaid delivery pushed to june 10 needs one more week of tweak this car feels likespaceship words cannot describe the limbic resonancecongrats boring company teamyesdark helmet emotes plaid wellgreat ideaactually true hahabasically our entire product roadmap is from spaceballs
2021-05-30,ocean spaceport deimos is under construction for launch next yearsehnsuchtdankeactually so called secondary structure is the hard part so many pipes amp wires tall stuff amp small stuff are the toughest things about starshiptrue250m years is only 6 increase in age of earthraptor production is approaching one every 48 hours29 raptors on booster initially rising to 32 later this year along with thrust increase per engine aiming for gt 7500 ton thrust long termw 1 5
2021-05-31,pretty close inner ring is closer to center 3 as all 12 gimbal together boost back burn efficiency is greatly improved in this config
2021-06-01,sounds kinda funog smartwatchmoving lumbar was removed only in front passenger seat of 3obv not there in rear seats logs showed almost no usage not worth cost mass for everyone when almost never used prices increasing due to major supply chain price pressure industry wide raw materials especiallyniceagreedmaking this work has been still is super difficult but ita revolution in car body design amp production lighter tighter better nvh higher precision lower capex lower unit costyeah new modelamphave ps5 level entertainment computing power
2021-06-02,we went public for 3 40 sharewhenvisit japan later this yearsighfound this pic of me aschildour biggest challenge is supply chain especially microcontroller chips never seen anything like it fear of running out is causing every company to overorder like the toilet paper shortage but at epic scale that said itobv notlong term issuemight takefew kicks at the can before we catch the rocket hahababy shark crushes all more views than humansthings get weird at the driver levelsome quarks amplepton walk intobarthanks seriously it was so insane fud still happeninglittle but doesnresonate when enough people have the productthatwhere we get most of our lithium also whereas phone batteries make heavy use of cobalt in cathode tesla uses primarily nickel which is trickier but has better energy density range iron cathode cells are now competitive for stationary packs amp mid range carsscience fiction should not be fiction forever
2021-06-03,yup
2021-06-04,needs laser eyes toocanada usa mexicomake up sex is the best thohaf yu sin mi danzgreat threadnice
2021-06-05,it isalready have oneishelluva drugi pretty much agree with vitalikgtgoods amp services are the real economy any form of money is simply the accounting thereof
2021-06-06,haha awesomefair point back to regularly scheduled programmingdonkill what you hate save what you lovethe operating costs oftesla are also much lower thangasoline cruiserhe will perhaps havebaby sooni do like to causelittle mischiefmaybeone more production release of pure vision this week then fsd beta 9week or two later v9 0 fsd is also pure vision foundational improvements are immensei guess we read the instructions haha
2021-06-07,at the annual shareholder meeting probably late july early augustplaid is canceled no need as plaid is just so goodtbhwas into pc amp still into pcsome engineersworked with went on to help create wow but it was too addicting couldnafford the time sigh0 to 60mph in under 2 secs quickest production car ever made of any kind has to be felt to be believedmodelgoes to plaid speed this weeka new space race has begunthanks lloydwow thanksvic 20 with 8kb memory
2021-06-08,the long term strength of tesla will be manufacturing technologywell said dave
2021-06-09,just donatedtesla europe team is doing greatnot evengood fake anonymous the article is behindpaywall and it looks like anonymous hacking skills are not enough to get behind itexactly only timesell tesla stock is when my stock options are expiring amphave no choice btwwill continue to pay income taxes in california proportionate to my time in state which is amp will be significantyeah sold my houses except for 1 in bay area thatrented out for events working on sustainable energy for earth with tesla amp protecting future of consciousness by making life multiplanetary with spacex also ai risk mitigation with neuralink amp fixing traffic with boring
2021-06-10,useful mass to orbit is the primary figure of meritexactlymy primary home is literally50k house in boca chica starbase thatrent from spacex itkinda awesome though only houseown is the events house in the bay area ifsold it the house would see less use unless bought bybig family which might happen some daynow thathave made some improvementsm pretty sure itworth 69k haha
2021-06-11,most amount of fun on 4 wheels pure joy on tap wheneverwantorder tesla modelplaid atplaid release eventi love the yoketesla engineering is awesomepeople like itstarlink missions will move to starshiphaha
2021-06-12,at lastjay is awesome
2021-06-13,physics should be taught with the majesty amp beauty it deservesfiber is wound over rotor at high tension load machine to do this was made by tesla automation carbon sleeve must put copper rotor in compression or it loosens at low temp due to differential thermal expansion preload is also helpful for maintaining precise gap to statorphysics is simply the search for truth nothing is more rigorousesoteric meme of the daythis is inaccurate tesla only sold 10 of holdings to confirm btc could be liquidated easily without moving market when thereconfirmation of reasonable 50 clean energy usage by miners with positive future trend tesla will resume allowing bitcoin transactionstruemain advantage of this ismuch stronger em field compared withrotor that is held together by metal usually high strength steel other advantage is that rotor can go to higher rpm as carbon sleeve mostly stops copper rotor from expanding due to radial accelerationthe plaid carbon wrapped motor is arguably the most advanced motor on earth outside of maybelab somewhere we have to keep some secrets we havefew ideas for increasing torque amp max rpm even further for new roadster definitely fun amp exciting engineering aheadderiving moments of inertia from first principles
2021-06-14,so much more is needed for life to become multiplanetarythis is trueour soul dichotomydecided to sell my last remaining house just needs to go tolarge family who will live there ita special placepluto takes 248 years to orbit the sun but uranus only takes 84k is kindredthe aliens would say so long and thanks for the orificecould turn out to be one big philipdick joke in the endepic dogcoolafter several successful launches land overflight earlier in trajectory passessubsafety threshold that said starship will also launch from cape long term
2021-06-15,133t h4x0r got my phone nuthincould do sorry babestacking super heavy aft sectionfrom the top of starbase high baytrue we somewhat overcompensated on bluetooth antenna capability haha will work on turning it down near your destination
2021-06-16,oh man home hvac that is super energy efficient quiet amp purifies the air would be great we developed it for the car but it can be scaled up for home usenew hvac firmware coming soon that will make it quieterεἰδέναι μὲν μηδὲν πλὴν αὐτὸ τοῦτο εἰδέναιmost people have no idea just how good the tesla air purification system is literally 10x better than any other cari love carbsnicepretty much an average day back thenmassive increase in supercharger network is underwaymaybe we should advertise informationally just so people know stuff like this exists
2021-06-17,it is an honor to work with such talented engineerswe might use sn16 onhypersonic flight testletjust skip original video games amp movies amp go straight to the sequelmanufacturing is so hardhave the utmost respect for those who build thingscoolbased on what datahellom clark kentcongratulations this isgreat achievementsteam engines are even bettertruereal pic of 2 ships next to starbase tiki bar on righti ve been driving with the yoke forwhile amp itgreat imo progressive steering would require complex gearing or drive by wire without direct mechanical link will aim for that infew yearsfair enough
2021-06-18,haha
2021-06-19,nice workhaha pretty muchtruepeak acceleration is over 1 2s which is 20 faster than fallingthis is epic very impressive history
2021-06-20,yeah
2021-06-21,looking at holding tesla ai day in aboutmonth or so will go over progress with tesla ai software amp hardware both training amp inference purpose is recruitingphysical world sighhappy fatherday
2021-06-22,this is an important improvementvery sorry to hear that condolences to jb and his familytesla financing round closed at 6pm dec 24th 2008 last hour of last day possible or payroll would ve bounced 2 days latergave tesla last of my remaining cash from paypal didneven ownhouse or anything sellable
2021-06-23,
2021-06-24,good chart this ismajor reason why we moved starlink from 1100km orbit to 550km atmosphere automatically clears the lower altitude withinfew years so space junk cannot accumulatecool but an unnecessary complication for now these are being removed to speed up time to orbital launchthat is an exciting goalat leastfew years before starlink revenue is reasonably predictable going public sooner than that would be very painful will do my best to give long term tesla shareholders preferenceshout out to the awesome tesla global team thanks for working so hard to make tesla successfulwow
2021-06-25,nothing wrong with healthy competition but this seemslittle over the top would be cool if spacecraft could travel from one space station to another which is much harder than it seemsi think about that quitelotbicuriousoh right bitcoin hahawe re almost done with first prototype booster this will go to test standnext one will fly to orbit team has been crushing it many days amp nights inrowhow many bitcoin maxis does it take to screw inlightbulbthatnot funny bitcoin maxisedgybasically justfootnotelmfao omgfor the bitcurious very well then letdo itit will be like this but biggeridriving alpha 9 but we need to fix some obvious issues before releasing beta 9 hopefully next week fsd subscription capability should be turning on via the tesla appthe comments in this thread are solid goldmy shiba inu will be named flokiactuallygreat many parts are produced by our suppliers but tesla is more vertically integrated than other carmakerstiming is everythingbring back the zune ittimeone of my favorites quotes fromgreat humantruet is the new dstarship super heavy
2021-06-26,schedule driver there is regulatory approval has to be certified for each aircraft type focusing on 737 amp a320 as those serve most number of people with development testing on gulfstreamsometimes people think it is performance but safety is always the primary design requirement forteslastarlink simultaneously active users just exceeded the strategically important threshold of 69 420 last nightall 72 orbital planes activate in august plus many other improvements enabling global coverage except for polar regions which will take another 6 months
2021-06-27,cool
2021-06-28,it is looks like we can get 378 sec isp with this version of raptor vacuum so over 380 sec with some improvements down the roadimportant to support
2021-06-29,i liked your movie hollywood dirtthere is the internal goal if things go right which needs to be aggressive obviously some things will not go right internally amp there will be external issues too that saidthink we can stack an orbital ship on an orbital booster in julywhen do the engines arrivetop safety pick from iihs thatthe highest overall rating but we think we can get max score for all subcategories individual tests too retesting inmonth or so with improved software the improved software will then be uploaded to all cars with fsd computerssonic boom incomingnot badproduction release update coming this week which includes raising max speed to 80 mph sorry 75 mph limit was done as precautionary measure turned out to be unnecessaryunfortunately launch is called off for today as an aircraft entered the keep out zone which is unreasonably gigantic there is simply no way that humanity can becomespacefaring civilization without major regulatory reform the current regulatory system is brokenthanks for all the happy birthday wishes
2021-06-30,first one to fly will so booster 4 booster 3 will be used for ground tests we re changing much of design from 3 to 4 booster 3 was very hard to build expect especially rapid evolution in first 10 boosters amp first 30 shipsbasic mri is easier than it sounds good tbh high resolution mri in short time with weak magnetic field is hardgreat shot btw starship super heavy will not have an entry burn deltais shifted more to the ship so booster entryamp heating is lowershouldbringfew spare enginesmean just in casesureactually almost 80 liquid oxygen
2021-07-01,we ve already donelot of iteration on ship for rapid reusability booster must return to launchpad so inert mass impacts ascent boostback amp landing burns triple whammy also booster flight rate is 5x that of ship so multiple mass cost by 5impressivethe economic prosperity that china has achieved is truly amazing especially in infrastructureencourage people to visit and see for themselvessorry for any confusion dojo isneural network training computer optimized for video for self driving unless there ispredictable pattern to hashing scrypt which we will not attempt to find it will not be competitive with asic based hashing potatoes are deliciousi do live in50k house but not this specific oneyeah but dogz rūlthen why were taxpayers forced to overpay for ulaula would be dead asdoornail without the two launch provider dod requirement if this is not true then you wonhaveproblem removing it your parent company lockheed darkened the skies with lobbyists to ensure35 was single source seemslittle inconsistentyeahwork needed between flights is less amp less as shown by shortening time between reflights required work between flights for starship amp super heavy is zeroyou should notice several other improvementsrapidly reusable rocketsr rof course you cantake that literally he meant the whole dairy industrysuper heavy on road amp 7th tower segment addednow this sort of nonsense happens all the time with government contracts amp everyone knows it however in this case it is money diverted from making life multiplanetary which is the goal of spacex vs the ula goal of maximizing dividends to lockheed amp boeing not okitlike looking inmirrorcwhat are we doing wrong at spacex you probably have some good ideas the fundamental optimization for making life multiplanetary amp backing up the biosphere is cost per ton to the surface of mars what system achieves that bestyeah had great poutine in montreal does feel like your life expectancy is dropping in real time as you eat it but awesome nonethelessrelease the dogeonce you have rapidly reusable rockets of sufficient size to carry gt 100 tons of payload it is not clear that cost per ton to orbit moon mars improves withlarger rocket aircraft for example have moved away from 747 a380 to 777 which has 100 tons of payloadbaby doge doo doo doo doo doo baby doge doo doo doo doo doo baby doge doo doo doo doo doo baby dogemillion tons to mars requiresr rwill look pretty wild withship on topdoubling diameter increases mass 4x but difficulty of simultaneously building amp launching rocket of that size is gt gt 4x in retrospect lt 9m diameter for starship might have been wise current size is 5200 ton stack mass amp 7500 tonthrust which is more than double saturn vstop gendering memesmean mimessuper heavy moves tomorrow
2021-07-02,when we need strange training examples eg halfcar on highway tesla sim delivers also accidents on autopilot are becoming rarer so we need more close call examples for safety tests autopilot sees dummy far away emergency braking only needed for distracted driverswhat is not well understood is that ula still hasmonopoly carve out for us government launches for which spacex is not allowed to compete costing the taxpayer twice as much per launch than it should this is obviously not real competitionyour company said the exact opposite in 2014 when it gotsole source uncompeted 11b dod launch contract in any event expendable rockets are as relevant to the future as expendable aircraft rapidly reusable rockets are all that matterbutguessshould take my own advice amp just work on saving the thingsloveyeah itnext level amp will just keep getting better with more training data from fleet tesla sim team is also crushing itbut canpay in dogewow 14 years agosure we can show them live eerily realistic maybe we should makegamemight worktrueyeah main story line is not that long played at max difficulty no aim assist so didnsoftball it razor fight was insanely difficultcongrats tesla team on over 200 000 car built amp delivered in q2 despite many challengesdead space 2 was greatthese daysmostly just play polytopia which comes free with every tesla
2021-07-03,fair enoughtoxoplasmosis infects rats then cats then humans who make cat videos ai trains achieves superhuman intelligence training on internet cat videos thus making toxoplasmosis the true arbiter of our destinyepicyes long term all settings will be in your tesla app and car will auto adjustboth greattwo weeksfriday afternoons are usually tesla design studio time cybertruck will be almost exactly what was shown we re adding rear wheel steering so it can do tight turns amp maneuver with high agility lot of other great things comingthere isbig difference between reaching space and reaching orbithaha fsd 9 beta is shipping soonswear generalized self driving ishard problem as it requires solvinglarge part of real world ai didnexpect it to be so hard but the difficulty is obvious in retrospect nothing has more degrees of freedom than reality
2021-07-04,yes we can fly starship around space amp chomp up debris with the moving fairing doornew spacex starlink cover shows transfer orbit from earth to marsregen using motor braking means brake pads almost never need to be replacedcoolbless americaouter engine ring is fixed angle but can throttlelooking good at 378 sec continued improvement will get it over 380current plan is to increase base raptor thrust to 230 tons or 500 million lbs amp increase booster engine count to 32 or 33happy 4th to all
2021-07-05,design is easy production is hardlmakes quitebig difference we do care about lift for starship much more than dragon as lower peak heating is needed for reusability of heat shield dragon prefers high peak low total heat load as it is driven by tile heat pulse reaching bondline while under parachutescenter engines on ship will be same as booster engines this is basically raptor 2 raptor vacuum would be only variant tbd as to whether to commonizevac with raptor 2 more thrust keep same or tighten throat more isp adding 3 morevac to ship with max isp maybeitone possibilitybooster engines are not shrouded by skirt extension as with ship engines extend about 3m below boosterkinda has to happenbut srsly the pic clicking is so annoyingstop sending me this h1titawesomeall raptors on booster whether fixed or gimbaling would be the same 33 230 gets 7600 tons of thrust ampw of 1 5free britney
2021-07-06,soft spot for olde roadsteryes updated ui coming with fsd wide release all cars with fsd computer will have new mind of car view all 3can be upgraded to have fsd computercaused by switching frequency of light source surround video multiple cameras across several frames improving fps amp exposure setting tweaks solves this all in fsd buildwarren buffet sizzler buffetmass effect 2 was particularly greatdouglas adams ftw
2021-07-07,accurate show that falcon heavy addresses all use caseswe could stretch the falcon heavy upper stage amp increase thislot but fh already covers all known payloads starship especially with orbital refilling amp dedicated deep space variants no heatshield flaps or header tanks will take this up orders of magnitudeworking with weddle and sons roofing has beengreat collaboration for accelerating tesla solar roof installation this islot of work as tens of millions of homes need solar roofs if you areroofing company please consider adding solar roof to your offeringsabsolutely staggeringly insane amount of work between now and thenand by 2060 tesla production will exceed the mass of the universesupersonic shock waveyeah that would be cool also using ship itself as structure for new giant telescope thatgt 10x hubble resolution was talking to saul perlmutter whoawesome amp he suggested wanting to do thathigh res landing falcon landing video
2021-07-08,improved fsd screen attempting to show the mind of the carnikola tesla was born in croatia to serbian parentsexpect rapid improvement with pure visioni love thisreleasing beta v9 end of weeksaturdayalso the british legal system in 2021depends on how the limited beta goes if it goes well maybemonth or sobeta 9 will start uploading at midnight california time on friday bear in mind it is still justbetafinally some tonguean old video ah those were simpler timestrueyesand also accelerates sustainable energy
2021-07-09,but also thishahacartesian dueliststhisi can sometimes be optimistic about scheduleskinda truethis sounds like it has potential to go wrong ampm not referring to reusing codetropic thunder is so goodthat is the impression that some have traveling to another planet amp buildingself sustaining city is not for the faint of heart consider the sad case of chad ripbtc amp eth are pursuingmultilayer transaction system but base layer transaction rate is slow amp transaction cost is high there is merit imo to doge maximizing base layer transaction rate amp minimizing transaction cost with exchanges acting as the de facto secondary layermaybe that movie gaslit us allsanskrit is ancient amp amazing but archaic sumerian is generally agreed to be oldest written language as for what was first spoken ithard to say as no one wrote it down so much history has been lost due to lack of writing on something durablehard to beat the great pyramidrunning preproduction software is both work amp fun beta list was in stasis as we had many known issues to fix beta 9 addresses most known issues but there will be unknown issues so please be paranoid safety is always top priority at teslasighyeslistening to history of english podcastgas lit by gas light
2021-07-10,tesla solar roof powerwall in major new housing development in austinwill see you there to wish you the bestjust add saltabsolutelytechnically high voltage dc is the most efficient way to transmit electricity but they lacked good power electronics back thenblock size amp frequency should steadily increase to match broadly available bandwidthit wonneed to reach visa speed as regulated exchanges will act as de facto second layer but the perfect should not be the enemy of the good it is still good to increase base layer transaction speed amp lower base layer transaction costdragon returning from orbityesautonomous spacex droneshipshortfall of gravitaswhen even someone in california home of silicon valley needs internet so bad that they boltstarlink dish to the hood of their car you know therea serious unmet needfellowship of the raptorssolar powerwall battery ensures that your home never loses powerby volume productionmean 2 to 4 engines per day thatsuper high volume for big rocket engines but low volume by automotive standardsyes it will be the highest output amp most advanced rocket engine factory in the worldthe challenges of operating at starbase left us with no choice but to put engine production in mcgregorthanks austinroughly 800 to 1000 per year thatabout whatneeded over ten years to create the fleet to buildself sustaining city on mars city itself probably takes roughly 20 years so hopefully it is built by 2050mcgregorindeed loki is quiet goodwe are breaking ground soon onsecond raptor factory at spacex texas test site this will focus on volume production of raptor 2 while california factory will make raptor vacuum amp new experimental designsyeah goal is to reflect reality so screen render will become increasingly soaccurate assessment btw autopilot software is technically led by ashok andrej amp milan but itvery muchknights of the round table structure there are so many talented engineers on autopilot ai team amp they decide for themselves what to work on kinda like valvemind of car visualization will improvelot in coming releases brightness translucency indicate confidence of neural net in predicting any given object acid test is being able to assess with quick glance at screen if car fully understands environmentonly ever have
2021-07-11,godspeedfinal decision made earlier this week on booster engine count will be 33 at 230 half million lbs sea level thrust all engines on booster are same apart from deleting gimbal amp thrust vector actuators for outer 20spaceport design is coolcongratulations beautiful flight
2021-07-12,it will soon capture turn signals hazards ambulance police lights amp even hand gesturesaction will follow recognition soon thereafter also call will listen for sirens amp alarmsexactly
2021-07-13,interesting ideacorporate speak is human ambienopphaha buzz corp made of buzzwordsnot yet but they will itneeded for full self drivingmaybe if it seesshiba inu the car rendersdogecointhose who attack space maybe donrealize that space represents hope for so many peopleittrueistoddler hodler never once has he said sellloki is pretty good basically live action withlong romance ark
2021-07-14,it was richardrental house which overall is great butagree regarding the cabinets haha this was 3am day of flight wasnexpecting this brutal pic of me to be posted but oh welliactually 3000 years old but at the risk of being immodestthinklook good even for 2500 years still have my original chariot license in papyrustook more work to make f9 booster reuse cost effective than went into recovering it in the first place this is an important point things finally clicked into place with block 5 my hat is off to everyone at spacex nasa space force faa amp suppliers who helped make it happenany money transmitter or other licenses needed to use this in usabooster is more than half cost of mission fairing is 10population collapse is whatactually happeningindeed sighitrying to setgood exampleitrying to setgood example population collapse ismuch bigger problem than people realize and thatjust for earth mars hasgreat need for people seeing as population is currently zero humans are the custodians of other life on earth let us bring life to marsnext baby will begirl48 61 68 61 20 74 72 75 65congratulationsthis ismajor problem between civilization ending withbang orwhimper this trend suggests the latterdue to lack of banging civilization might ended withwhimper adult diaper sales growth is much higher than baby diaper sales growthme too
2021-07-15,yeahreview of modelplaid by dan neilglad itworking the sheer amount of work done by spacex engineering production amp launch teams is amazing ping should improve dramatically in coming months we re aiming for lt 20ms basically you should be able to play competitive fps games through starlinkif we can do this successfully then anything developed for ground undersea fiber is automatically better in orbita new laughing emoji on dms would be greatlaser links in orbit can reduce long distance latency by as much as 50 due to higher speed of light in vacuum amp shorter path than undersea fiberyeahsome light reading with lil xmore ground stations amp less foolish packet routing will make the biggest differences looking at speed of light as 300km per millisecond amp satellite altitude of 550km average photon round trip time is only 10ms solot of silly things have to happen to drive ping gt 20mssimilar to fiber optic we are trying to ride the terrestrial fiber optic laser technology forcing function but modified for use in vacuumyeahwuz running on almost no sleepgood pointtapering down charge rate is simplyphysical thing that has to happen as lithium ions bounce around what is an increasingly full parking lot just likecar parking lot where it takes longer to findspot when the lot is almost fullsome traffic could just go terminal gt satellite gt satellite gt terminal and never touch the regular internetversion 3 of the spacex droneship team did great work will be epic to see the deep sea oil rigs converted to ocean spaceports for starshipto be frank there is always some chance that cybertruck will flop because it is so unlike anything elsedoncarelove it so much even if others donother trucks look like copies of the same thing but cybertruck looks like it was made by aliens from the futurein end we kept production design almost exactly same as show car just some small tweaks here amp there to make it slightly better no door handles car recognizes you amp opens door having all four wheels steer is amazing for nimble handling amp tight turnsnot bad although new modelhas more range amp faster charging 3 ampshould use long range version as performance version is meant for max speed amp handling not max range supercharger network is being upgraded to 250kw to 300kw so that will help toohow aboutwifi camera linkyup
2021-07-16,those are major factorsabsolutelyfsd beta 9 is using the pure vision production code for highway driving beta 10 hopefully beta 11 definitely will use one stack to rule them all city streets highway amp complex parking lotsyesimproving permit approval speed amp lowering permit costs for solar would makebig differenceindeed but again likeparking lotbattery having big roads tends to decrease number of parking spaces ie stores less energydo you even pressprobably monday
2021-07-17,roughlyvery accuratesome of these design trades are still open but will be resolved soonto date ai chatbots have hadrather short mth meantime to hitler score tay was 16 hourstrueeven smaller tochippure coincidencewide beta maybe with fsd rev 10 definitely with rev 11yeshahafred astaire is incredible worth watching his movies one ofkinda classiclilis hodling his doge likechamp literally never said the word sell even oncetap on the screennicenow he can bench pressrhinohahatherea corner case where brick density is same density as water reaching bottom due to momentumcoolall your basis points are belong to us fiat issuers
2021-07-18,pohtaytohzcurrent summon is sometimes useful but mostly justfun trick once we move summon plus highway driving tosingle fsd stack it will be sublimeindeedog hipstercybrrrtruckproblem 1st theory 2nd is for sure way to go as it establishes relevance thus improving memory retentionand all time hodl champion
2021-07-19,you doneven need to touch the shifter in newauto detect direction will come as an optional setting to all cars with fsdhahaniceduring this talk we will singcover of the final countdown by europesurehaveton
2021-07-20,full test duration firing of 3 raptors on super heavy boosterdepending on progress with booster 4 we might try9 engine firing on booster 3hahabest of luck tomorrowgreat to hear
2021-07-21,congratswe created our own connector as there was no standard back then amp tesla was only maker of long range electric cars itone fairly slim connector for both low amp high power charging that said we re making our supercharger network open to other evs later this yearover time all countriesnice
2021-07-22,ironic indeed aswas at one point going to do my phd at stanford on high energy density capacitors for use in electric vehicles but lithium ion has it covered even with no advances in lithium ion technology itpossible to transition earth to sustainable energydry electrode iskey piece one of many pieces of the puzzle for lowering cost of lithium batteries that said it has required an immense amount of engineering to take maxwellproof of concept to high quality volume production amp we re still not quite donebut much more important is that this design is capable of full amp rapid reusability long way to go from design to making it actually fully amp rapidly reusable with high payload but at least success is one of the possible outcomes hahaseriously negative nominal interest rates what is the world coming tocongrats cathiealso lasts much longer than normal roofs amp is able to withstand hail amp other medium sized impactsflight tests showed that we could make body flaps narrower amp lighter
2021-07-23,also the full self driving interface renders across the whole display amp it is incredible the yoke enables an unobstructed view of the screenwe want to do so but import duties are the highest in the world by far of any large country moreover clean energy vehicles are treated the same as diesel or petrol which does not seem entirely consistent with the climate goals of indiathis will become very important over timeminimizing ton to the surface of mars is the fundamental optimizationgood review amp fair critique in general with interfaces all input is error with each software update the carintuition will get better you will need to press buttons less amp less amp it will know when to ignore accidental button pressesnobut we are hopeful that there will be at leasttemporary tariff relief for electric vehicles that would be much appreciatedmaybewill iton pc nowvery impressiveif tesla is able to succeed with imported vehicles thenfactory in india is quite likelygreat gamei couldndo wow awesome but too much time requiredtesla modelplaid is alien technology
2021-07-24,large pouch cells undergo significant volumetric changes at high state of charge even so fire risk is probably less than gasoline cars there are over 200 000 combustion engine car fires every year in us alone itliterally in the namethe feeling is mutual butcanemphasize enough that we work with an amazing team the credit is theirsthatthe goalmore ofpathfinder test actual payload bay door dimensions are still under debate volume is 1000 cubic meters roomymost people have no idea starship exists or how large this beast is body diameter 9m or 30 ft is bigger than747 or a380 starship thrust amp mass are more than double saturnmoon rocket making life multiplanetary means massive rockets got to be donesuregood idea they are not easy to move over roads which is why the factory is close to the launch site but we will supportmuseum that wantsprototype if they take care of transportbeing thanked by game npcs brought me real joy tbhthat was me after cyberpunk razor fight hahais the pope catholichahathe comments on this article are funny
2021-07-25,and finallyseveral improvements coming via v9 1 on friday at midnight2 weeksor does hetesla giga shanghai team has done amazing workaustin now but back at starbase tomorrowi was at giga texas yesterday team is making excellent progress building will be almostmile long when completethe building is 7 stores tall so each floor is double size hard to appreciate unless you re closelength will grow by 500 ft over timeseriously we re getting eaten alive canget to mars if the bugs eat us firstconstruction starts soon onmuch larger high bay just north of current high bayalthough to be fairdig my own gravelotnorway has playedmajor role in supporting advent of electric vehicles
2021-07-26,probably infew monthscoolquaternions are important for orbital spaceflightcomputers are absurdly more accurate than humans how long would it take forhuman to render even one frame ofmodern video game at low res the computer will do high res at 120 frames per second notcontestamazingthe biggest bang theorywe will try preferable for tesla too as they last so long unlike other makers of cars our goal is not to profit from service best service is not needing service in the first placeonlylittle taller but much bigger base amp two gantry cranes that run full spanthat is the acid test
2021-07-27,good threadindeedships are probably fine with iron cells but aircraft need very high energy density for good rangem not saying tesla will do aircraft we have our hands full with cars amp solar battery power generation just that max energy density is needed for aircraftcars today are far more complex than modelwithglobal supply chain that is vulnerable to force majeure risk like modelsupply chain for battery evs simply doesnexist at massive scale so must be built in parallel ideas are easy production is hardpopulation collapse is potentially the greatest risk to the future of civilizationand thatjust for earth mars has zero human population we needlot of people to becomemultiplanet civilizationtesla software team is excellent even when compared to the best software companies this isbig deal as cars are very much computers on wheelsthata low bar carmakers have never valued software engineering highly although vw is trying to change thatpersonally wrote software for 20 years amp have huge respect for software engineers tesla is on par with best software companies amp is leader in real world aiiso dying to dosupersonic vtol electric jet butalready have way too much on my plate any more work and my brain will explodei am already chewing on so much glass thathave chipmunk cheeksgreat work by tesla giga berlin team amp supporting contractorsfair enough
2021-07-28,hahaorbital precession takeslong time with starship amp starlink v2 0 hopefully we can direct inject to target orbitcongrats spacex tower team amp supporting contractors
2021-07-29,so many tubesraptor v2 0 ismajor improvement in simplication while also increasing thrust from 185 tons to 230 tons long term goal is engine cost below 1000 ton of thrustyeahwe donhave that many bitcoin but itcloseat this point just count atoms amp dispense with nmthese guys are either shady or bothmean seriously therea long list of companies to pick on before teslahaha okwill do the tesla shareholder meeting inposh british accentnicetesla ai day august 19thdojo is designed for nn training no emulation neededconvincing the best ai talent to join tesla is the sole goaltrueand thatjust the primary fuel lines the maze of secondary plumbing amp wiring is our greatest concernyeah spacex team is cranking hardi mean of coursecongratulationsfeels so long agohaha truetalked to my friends about electric cars constantly in collegecongratscompleting feed system for 29 raptor rocket engines on super heavy booster
